,description,species,text_length,cleaned_text,chunked,POS Tag
69,21 Feb 2020 ï¿½ common names for the 'crested' Acridotheres mynas (Feare & Craig 1998). ... species in this group (IOC 2012). DNA analysis of Acridotheres showsï¿½...,Javan Myna,166,feb common name crested acridotheres myna feare craig specie group ioc dna analysis acridotheres show,feb common name crested acridotheres myna feare craig specie group ioc dna analysis acridotheres show,"[[('feb', 'JJ'), ('common', 'JJ'), ('name', 'NN'), ('crested', 'VBD'), ('acridotheres', 'NNS'), ('myna', 'FW'), ('feare', 'NN'), ('craig', 'NN'), ('specie', 'NN'), ('group', 'NN'), ('ioc', 'VBZ'), ('dna', 'JJ'), ('analysis', 'NN'), ('acridotheres', 'VBZ'), ('show', 'VBP')]]"
70,"July 13, 2023 - The Little Egrets, Egretta garzetta, is a small white heron. It is the Old World counterpart to the very similar New World Snowy Egret.",Little Egret,151,july little egret egretta garzetta small white heron old world counterpart similar new world snowy egret,july little_egret egretta garzetta small white heron old world counterpart similar new world snowy egret,"[[('july', 'NN'), ('little_egret', 'JJ'), ('egretta', 'NN'), ('garzetta', 'NN'), ('small', 'JJ'), ('white', 'JJ'), ('heron', 'NN'), ('old', 'JJ'), ('world', 'NN'), ('counterpart', 'NN'), ('similar', 'JJ'), ('new', 'JJ'), ('world', 'NN'), ('snowy', 'NN'), ('egret', 'NN')]]"
71,"Sep 7, 2020 Â·  The number of a rare bird that lives in a protected part of Sharjah has increased from 125 to 131. Known as the Arabian collared kingfisher, the bird inhabits the Alqurm area of Kalba on the east coast. Kingfishers are found in many regions. But the subspecies kalbaensis is found only in Kalba and a handful of sites in Oman. ",Collared Kingfisher,343,sep number rare bird life protected part sharjah increased known arabian collared kingfisher bird inhabits alqurm area kalba east coast kingfisher found many region subspecies kalbaensis found kalba handful site oman,sep number rare bird life protected part sharjah increased known arabian collared kingfisher bird inhabits alqurm area kalba east coast kingfisher found many region subspecies kalbaensis found kalba handful site oman,"[[('sep', 'JJ'), ('number', 'NN'), ('rare', 'JJ'), ('bird', 'JJ'), ('life', 'NN'), ('protected', 'VBD'), ('part', 'NN'), ('sharjah', 'NN'), ('increased', 'VBD'), ('known', 'VBN'), ('arabian', 'JJ'), ('collared', 'VBD'), ('kingfisher', 'JJ'), ('bird', 'NN'), ('inhabits', 'NNS'), ('alqurm', 'VBP'), ('area', 'NN'), ('kalba', 'NN'), ('east', 'VBD'), ('coast', 'NN'), ('kingfisher', 'NN'), ('found', 'VBD'), ('many', 'JJ'), ('region', 'NN'), ('subspecies', 'NNS'), ('kalbaensis', 'VBP'), ('found', 'VBN'), ('kalba', 'RB'), ('handful', 'JJ'), ('site', 'NN'), ('oman', 'NN')]]"
72,"4 Apr 2021 ï¿½ It's a Javan Myna. Jungle Myna has a dark bill base while Crested has a paler, horn coloured bill, brighter orange-yellow eyes and plumage isï¿½...",Javan Myna,162,apr javan myna jungle myna dark bill base crested paler horn coloured bill brighter orange yellow eye plumage,apr javan_myna jungle myna dark bill base crested paler horn coloured bill brighter orange yellow eye plumage,"[[('apr', 'NN'), ('javan_myna', 'NN'), ('jungle', 'NN'), ('myna', 'NN'), ('dark', 'JJ'), ('bill', 'NN'), ('base', 'NN'), ('crested', 'VBD'), ('paler', 'NN'), ('horn', 'NN'), ('coloured', 'VBD'), ('bill', 'NN'), ('brighter', 'NN'), ('orange', 'NN'), ('yellow', 'JJ'), ('eye', 'NN'), ('plumage', 'NN')]]"
73,"This photo was recorded in the south of Iran
Iran - hormozgan / 2023-02-12",Black-naped Oriole,74,photo recorded south iran iran hormozgan,photo recorded south iran iran hormozgan,"[[('photo', 'NN'), ('recorded', 'VBD'), ('south', 'JJ'), ('iran', 'NN'), ('iran', 'NN'), ('hormozgan', 'NN')]]"
74,2 Aug 2020 ï¿½ The Singapore Bird Group says the Javan myna is the most common ... Content is loading... Advertisement. Expand to read the full story.,Javan Myna,150,aug singapore bird group say javan myna common content loading advertisement expand read full story,aug singapore bird group say javan_myna common content loading advertisement expand read full story,"[[('aug', 'NN'), ('singapore', 'RB'), ('bird', 'JJ'), ('group', 'NN'), ('say', 'VBP'), ('javan_myna', 'NN'), ('common', 'JJ'), ('content', 'NN'), ('loading', 'VBG'), ('advertisement', 'JJ'), ('expand', 'NN'), ('read', 'VBP'), ('full', 'JJ'), ('story', 'NN')]]"
75,"In their first year, male orchard orioles look like females, sporting yellow-green feathers. Sometime that fall, they develop a black mask. Learn how to attract orioles to your backyard. Courtesy Kelly Schmitz. Juvenile orchard orioles look like the bird (above) for the next 12 months. In the fall of their second year, they molt their feathers ... ",Black-naped Oriole,350,first year male orchard oriole look like female sporting yellow green feather sometime fall develop black mask learn attract oriole backyard courtesy kelly schmitz juvenile orchard oriole look like bird next month fall second year molt feather,first year male orchard oriole look like female sporting yellow green feather sometime fall develop black mask learn attract oriole backyard courtesy kelly schmitz juvenile orchard oriole look like bird next month fall second year molt feather,"[[('first', 'JJ'), ('year', 'NN'), ('male', 'NN'), ('orchard', 'IN'), ('oriole', 'JJ'), ('look', 'NN'), ('like', 'IN'), ('female', 'JJ'), ('sporting', 'VBG'), ('yellow', 'JJ'), ('green', 'JJ'), ('feather', 'NN'), ('sometime', 'RB'), ('fall', 'NN'), ('develop', 'VB'), ('black', 'JJ'), ('mask', 'NN'), ('learn', 'NN'), ('attract', 'JJ'), ('oriole', 'JJ'), ('backyard', 'NN'), ('courtesy', 'NN'), ('kelly', 'RB'), ('schmitz', 'JJ'), ('juvenile', 'NN'), ('orchard', 'NN'), ('oriole', 'JJ'), ('look', 'NN'), ('like', 'IN'), ('bird', 'NN'), ('next', 'JJ'), ('month', 'NN'), ('fall', 'NN'), ('second', 'JJ'), ('year', 'NN'), ('molt', 'NN'), ('feather', 'NN')]]"
77,"Published: August 22, 2022 Views: 7K",Little Egret,36,published august view k,published august view k,"[[('published', 'VBN'), ('august', 'JJ'), ('view', 'NN'), ('k', 'NN')]]"
78," Basic facts about Little Egret: lifespan, distribution and habitat map, lifestyle and social behavior, mating habits, diet and nutrition, population size and status.",Little Egret,166,basic fact little egret lifespan distribution habitat map lifestyle social behavior mating habit diet nutrition population size status,basic fact little_egret lifespan distribution habitat map lifestyle social behavior mating habit diet nutrition population size status,"[[('basic', 'JJ'), ('fact', 'NN'), ('little_egret', 'IN'), ('lifespan', 'JJ'), ('distribution', 'NN'), ('habitat', 'NN'), ('map', 'NN'), ('lifestyle', 'JJ'), ('social', 'JJ'), ('behavior', 'NN'), ('mating', 'VBG'), ('habit', 'NN'), ('diet', 'JJ'), ('nutrition', 'NN'), ('population', 'NN'), ('size', 'NN'), ('status', 'NN')]]"
79,"A large coastal kingfisher with a gleaming white head, a thin black line behind the eye, and a blue-green back. Juvenile duller, with buff on crown and underside. Found singly or in pairs in mangroves, on beaches, and along rocky shorelines, where it often perches on exposed rocks or in trees bordering coast. Clean white crown and narrow (not wide) black strip behind eye distinguish it from all forms of the smaller Collared Kingfisher. Vocal, giving harsh calls: a â€œchoo-chewâ€ descending on the second note and a rapid, agitated â€œkip-kip-kip-kip-kip.â€",Collared Kingfisher,563,large coastal kingfisher gleaming white head thin black line behind eye blue green back juvenile duller buff crown underside found singly pair mangrove beach along rocky shoreline often perch exposed rock tree bordering coast clean white crown narrow wide black strip behind eye distinguish form smaller collared kingfisher vocal giving harsh call choo chew descending second note rapid agitated kip kip kip kip kip,large coastal kingfisher gleaming white head thin black line behind eye blue green back juvenile duller buff crown underside found singly pair mangrove beach along rocky shoreline often perch exposed rock tree bordering coast clean white crown narrow wide black strip behind eye distinguish form smaller collared kingfisher vocal giving harsh call choo chew descending second note rapid agitated kip kip kip kip kip,"[[('large', 'JJ'), ('coastal', 'JJ'), ('kingfisher', 'NN'), ('gleaming', 'VBG'), ('white', 'JJ'), ('head', 'NN'), ('thin', 'JJ'), ('black', 'JJ'), ('line', 'NN'), ('behind', 'IN'), ('eye', 'NN'), ('blue', 'NN'), ('green', 'JJ'), ('back', 'RB'), ('juvenile', 'NN'), ('duller', 'NN'), ('buff', 'NN'), ('crown', 'NN'), ('underside', 'RB'), ('found', 'VBD'), ('singly', 'RB'), ('pair', 'JJ'), ('mangrove', 'VB'), ('beach', 'NN'), ('along', 'IN'), ('rocky', 'JJ'), ('shoreline', 'NN'), ('often', 'RB'), ('perch', 'VBZ'), ('exposed', 'JJ'), ('rock', 'NN'), ('tree', 'NN'), ('bordering', 'VBG'), ('coast', 'JJ'), ('clean', 'JJ'), ('white', 'JJ'), ('crown', 'NN'), ('narrow', 'JJ'), ('wide', 'JJ'), ('black', 'JJ'), ('strip', 'NN'), ('behind', 'IN'), ('eye', 'NN'), ('distinguish', 'JJ'), ('form', 'NN'), ('smaller', 'JJR'), ('collared', 'VBD'), ('kingfisher', 'RBR'), ('vocal', 'JJ'), ('giving', 'VBG'), ('harsh', 'JJ'), ('call', 'NN'), ('choo', 'NN'), ('chew', 'NN'), ('descending', 'VBG'), ('second', 'JJ'), ('note', 'NN'), ('rapid', 'NN'), ('agitated', 'VBD'), ('kip', 'JJ'), ('kip', 'NN'), ('kip', 'NN'), ('kip', 'NN'), ('kip', 'NN')]]"
80,"Dec 31, 2021 Â·  The ringed kingfisher is the largest Kingfisher species native to North America. This bird is not exceptionally tall, but it can reach a length of 16 inches and a wingspan of 2 feet or more. Also known as the collared kingfisher, the ringed kingfisher is known for its bright white collar and dark, rust-colored breast. ",Collared Kingfisher,337,dec ringed kingfisher largest kingfisher specie native north america bird exceptionally tall reach length inch wingspan foot also known collared kingfisher ringed kingfisher known bright white collar dark rust colored breast,dec ringed kingfisher largest kingfisher specie native north america bird exceptionally tall reach length inch wingspan foot also known collared kingfisher ringed kingfisher known bright white collar dark rust colored breast,"[[('dec', 'NN'), ('ringed', 'VBD'), ('kingfisher', 'RB'), ('largest', 'JJS'), ('kingfisher', 'NN'), ('specie', 'NN'), ('native', 'JJ'), ('north', 'NN'), ('america', 'JJ'), ('bird', 'NN'), ('exceptionally', 'RB'), ('tall', 'JJ'), ('reach', 'NN'), ('length', 'NN'), ('inch', 'NN'), ('wingspan', 'VBP'), ('foot', 'NN'), ('also', 'RB'), ('known', 'VBN'), ('collared', 'VBD'), ('kingfisher', 'RBR'), ('ringed', 'VBD'), ('kingfisher', 'RB'), ('known', 'VBN'), ('bright', 'JJ'), ('white', 'JJ'), ('collar', 'NN'), ('dark', 'NN'), ('rust', 'NN'), ('colored', 'VBD'), ('breast', 'NN')]]"
81,"As the name suggests, this tall, white heron is considerably larger than the similar little egret. Once a rare visitor to the UK, sightings have become more common over the last few decades, with several pairs now breeding.",Little Egret,223,name suggests tall white heron considerably larger similar little egret rare visitor uk sighting become common last decade several pair breeding,name suggests tall white heron considerably larger similar little_egret rare visitor uk sighting become common last decade several pair breeding,"[[('name', 'NN'), ('suggests', 'VBZ'), ('tall', 'JJ'), ('white', 'JJ'), ('heron', 'NN'), ('considerably', 'RB'), ('larger', 'JJR'), ('similar', 'JJ'), ('little_egret', 'NN'), ('rare', 'JJ'), ('visitor', 'NN'), ('uk', 'JJ'), ('sighting', 'VBG'), ('become', 'JJ'), ('common', 'JJ'), ('last', 'JJ'), ('decade', 'NN'), ('several', 'JJ'), ('pair', 'NN'), ('breeding', 'NN')]]"
82,The study confirmed that morphological differences between the three forms were due to varying degrees of allelic introgression from the endemic Javan Myna A.,Javan Myna,158,study confirmed morphological difference three form due varying degree allelic introgression endemic javan myna,study confirmed morphological difference three form due varying degree allelic introgression endemic javan_myna,"[[('study', 'NN'), ('confirmed', 'VBD'), ('morphological', 'JJ'), ('difference', 'NN'), ('three', 'CD'), ('form', 'NN'), ('due', 'JJ'), ('varying', 'VBG'), ('degree', 'JJ'), ('allelic', 'JJ'), ('introgression', 'NN'), ('endemic', 'JJ'), ('javan_myna', 'NN')]]"
83,"May 1, 2007 - This is a rare find in Southern California if my ID, Egretta garzetta, is correct. I photographed this bird in San Diego Bay off the Silver Strand area of Coronado, CA, on 07-01-07 with my Canon 20D 400mm/f6.6L. Please confirm my ID or let me know if I'm wrong, thanks. A close-up head shot is...",Little Egret,310,may rare find southern california id egretta garzetta correct photographed bird san diego bay silver strand area coronado ca canon mm f l please confirm id let know wrong thanks close head shot,may rare find southern california id egretta garzetta correct photographed bird san diego bay silver strand area coronado ca canon mm f l please confirm id let know wrong thanks close head shot,"[[('may', 'MD'), ('rare', 'VB'), ('find', 'VB'), ('southern', 'JJ'), ('california', 'NN'), ('id', 'NN'), ('egretta', 'NN'), ('garzetta', 'NN'), ('correct', 'VBP'), ('photographed', 'VBN'), ('bird', 'JJ'), ('san', 'JJ'), ('diego', 'NN'), ('bay', 'NN'), ('silver', 'NN'), ('strand', 'VBP'), ('area', 'NN'), ('coronado', 'NN'), ('ca', 'MD'), ('canon', 'VB'), ('mm', 'JJ'), ('f', 'NN'), ('l', 'NN'), ('please', 'NN'), ('confirm', 'VBP'), ('id', 'JJ'), ('let', 'NN'), ('know', 'VB'), ('wrong', 'JJ'), ('thanks', 'NNS'), ('close', 'RB'), ('head', 'VBP'), ('shot', 'NN')]]"
84,#BlackNapedOriole #BeautifulSoundAng bagong alaga ni kurtPlease subscribe po kayo sa channel nminFollow nyo din po ang Fb page namin: shiekurt vlogThank you ðŸ˜Š ,Black-naped Oriole,162,blacknapedoriole beautifulsoundang bagong alaga ni kurtplease subscribe po kayo sa channel nminfollow nyo din po ang fb page namin shiekurt vlogthank,blacknapedoriole beautifulsoundang bagong alaga ni kurtplease subscribe po kayo sa channel nminfollow nyo din po ang fb page namin shiekurt vlogthank,"[[('blacknapedoriole', 'NN'), ('beautifulsoundang', 'NN'), ('bagong', 'IN'), ('alaga', 'JJ'), ('ni', 'JJ'), ('kurtplease', 'NN'), ('subscribe', 'NN'), ('po', 'NN'), ('kayo', 'NN'), ('sa', 'JJ'), ('channel', 'NN'), ('nminfollow', 'IN'), ('nyo', 'JJ'), ('din', 'NN'), ('po', 'NN'), ('ang', 'NN'), ('fb', 'JJ'), ('page', 'NN'), ('namin', 'JJ'), ('shiekurt', 'NN'), ('vlogthank', 'NN')]]"
85,"22 Jun 2014 ï¿½ Description: The Javan Myna (Acridotheres javanicus), also known as the White-Vented Myna, is a highly gregarious bird. It can be found almostï¿½...",Javan Myna,164,jun description javan myna acridotheres javanicus also known white vented myna highly gregarious bird found almost,jun description javan_myna acridotheres javanicus also known white vented myna highly gregarious bird found almost,"[[('jun', 'NN'), ('description', 'NN'), ('javan_myna', 'NN'), ('acridotheres', 'VBZ'), ('javanicus', 'NN'), ('also', 'RB'), ('known', 'VBN'), ('white', 'JJ'), ('vented', 'JJ'), ('myna', 'NN'), ('highly', 'RB'), ('gregarious', 'JJ'), ('bird', 'NN'), ('found', 'VBD'), ('almost', 'RB')]]"
86,6 Aug 2013 ï¿½ Skip to content. Osang Gwon. Menu. Works ï¿½ Virtual Visit ï¿½ Textstoggle child menu. Essays ï¿½ Interviews ï¿½ Articles ï¿½ Video ï¿½ Publicationsï¿½...,Javan Myna,169,aug skip content osang gwon menu work virtual visit textstoggle child menu essay interview article video publication,aug skip content osang gwon menu work virtual visit textstoggle child menu essay interview article video publication,"[[('aug', 'NN'), ('skip', 'NN'), ('content', 'NN'), ('osang', 'NN'), ('gwon', 'VBD'), ('menu', 'JJ'), ('work', 'NN'), ('virtual', 'JJ'), ('visit', 'NN'), ('textstoggle', 'NN'), ('child', 'NN'), ('menu', 'NNS'), ('essay', 'VBP'), ('interview', 'NN'), ('article', 'NN'), ('video', 'NN'), ('publication', 'NN')]]"
87,"Black-naped oriole (Oriolus chinensis), captive. Disclaimer: The Animal Diversity Web is an educational resource written largely by and for college students.ADW doesn't cover all species in the world, nor does it include all the latest scientific information about organisms we describe. ",Black-naped Oriole,288,black naped oriole oriolus chinensis captive disclaimer animal diversity web educational resource written largely college student adw cover specie world include latest scientific information organism describe,black naped oriole oriolus chinensis captive disclaimer animal diversity web educational resource written largely college student adw cover specie world include latest scientific information organism describe,"[[('black', 'JJ'), ('naped', 'VBD'), ('oriole', 'JJ'), ('oriolus', 'JJ'), ('chinensis', 'NN'), ('captive', 'JJ'), ('disclaimer', 'NN'), ('animal', 'NN'), ('diversity', 'NN'), ('web', 'VBP'), ('educational', 'JJ'), ('resource', 'NN'), ('written', 'VBN'), ('largely', 'RB'), ('college', 'NN'), ('student', 'NN'), ('adw', 'NN'), ('cover', 'NN'), ('specie', 'JJ'), ('world', 'NN'), ('include', 'VBP'), ('latest', 'JJS'), ('scientific', 'JJ'), ('information', 'NN'), ('organism', 'NN'), ('describe', 'NN')]]"
88,"2 Sept 2020 ï¿½ ... Content since 2010, Evelyn is also curren. ... The Javan mynah is the most common resident bird in Singapore today.",Javan Myna,135,sept content since evelyn also curren javan mynah common resident bird singapore today,sept content since evelyn also curren javan mynah common resident bird singapore today,"[[('sept', 'NN'), ('content', 'NN'), ('since', 'IN'), ('evelyn', 'NN'), ('also', 'RB'), ('curren', 'VBZ'), ('javan', 'NN'), ('mynah', 'NN'), ('common', 'JJ'), ('resident', 'JJ'), ('bird', 'NN'), ('singapore', 'NN'), ('today', 'NN')]]"
89,"Males are bright yellow overall save for the black wings and inner tail feathers. Note the yellow patch on the wings, the yellow outer tail feathers, the black stripe through the eye that gives it a masked appearance, and the fleshy pink bill. The female is dull greenish-yellow overall with dirty brown/green wings and a completely yellowish tail. Both males and females have red iris. Most ... ",Black-naped Oriole,396,male bright yellow overall save black wing inner tail feather note yellow patch wing yellow outer tail feather black stripe eye give masked appearance fleshy pink bill female dull greenish yellow overall dirty brown green wing completely yellowish tail male female red iris,male bright yellow overall save black wing inner tail feather note yellow patch wing yellow outer tail feather black stripe eye give masked appearance fleshy pink bill female dull greenish yellow overall dirty brown green wing completely yellowish tail male female red iris,"[[('male', 'JJ'), ('bright', 'JJ'), ('yellow', 'JJ'), ('overall', 'NN'), ('save', 'VBP'), ('black', 'JJ'), ('wing', 'NN'), ('inner', 'JJ'), ('tail', 'NN'), ('feather', 'NN'), ('note', 'NN'), ('yellow', 'JJ'), ('patch', 'NN'), ('wing', 'VBG'), ('yellow', 'JJ'), ('outer', 'NN'), ('tail', 'NN'), ('feather', 'NN'), ('black', 'JJ'), ('stripe', 'NN'), ('eye', 'NN'), ('give', 'VBP'), ('masked', 'VBN'), ('appearance', 'NN'), ('fleshy', 'JJ'), ('pink', 'JJ'), ('bill', 'NN'), ('female', 'JJ'), ('dull', 'JJ'), ('greenish', 'NN'), ('yellow', 'IN'), ('overall', 'JJ'), ('dirty', 'NN'), ('brown', 'NN'), ('green', 'JJ'), ('wing', 'VBG'), ('completely', 'RB'), ('yellowish', 'JJ'), ('tail', 'NN'), ('male', 'NN'), ('female', 'JJ'), ('red', 'JJ'), ('iris', 'NN')]]"
90,"Jul 12, 2023 Â·  Rufous-collared Kingfishers feed upon fish, insects, scorpions, and small snakes. They have a well-developed vision. Their dark brown eyes can see colors distinctly and are even capable of binocular vision. They can move their eyes within the eye sockets rather than having to rotate their entire heads to follow their prey. ",Collared Kingfisher,342,jul rufous collared kingfisher feed upon fish insect scorpion small snake well developed vision dark brown eye see color distinctly even capable binocular vision move eye within eye socket rather rotate entire head follow prey,jul rufous collared kingfisher feed upon fish insect scorpion small snake well developed vision dark brown eye see color distinctly even capable binocular vision move eye within eye socket rather rotate entire head follow prey,"[[('jul', 'NN'), ('rufous', 'JJ'), ('collared', 'VBD'), ('kingfisher', 'JJR'), ('feed', 'NN'), ('upon', 'IN'), ('fish', 'JJ'), ('insect', 'JJ'), ('scorpion', 'NN'), ('small', 'JJ'), ('snake', 'NN'), ('well', 'RB'), ('developed', 'JJ'), ('vision', 'NN'), ('dark', 'NN'), ('brown', 'JJ'), ('eye', 'NN'), ('see', 'VBP'), ('color', 'NN'), ('distinctly', 'RB'), ('even', 'RB'), ('capable', 'JJ'), ('binocular', 'JJ'), ('vision', 'NN'), ('move', 'NN'), ('eye', 'NN'), ('within', 'IN'), ('eye', 'NN'), ('socket', 'NN'), ('rather', 'RB'), ('rotate', 'JJ'), ('entire', 'JJ'), ('head', 'NN'), ('follow', 'NN'), ('prey', 'NN')]]"
91,"Shop ""Black-Naped Oriole And Ch ..."" Canvas Wall Art by Katsushika Hokusai in a variety of sizes; framed options available. On Sale Today! Free Shipping & Returns.",Black-naped Oriole,163,shop black naped oriole ch canvas wall art katsushika hokusai variety size framed option available sale today free shipping return,shop black naped oriole ch canvas wall art katsushika hokusai variety size framed option available sale today free shipping return,"[[('shop', 'NN'), ('black', 'JJ'), ('naped', 'JJ'), ('oriole', 'NN'), ('ch', 'NN'), ('canvas', 'NN'), ('wall', 'NN'), ('art', 'NN'), ('katsushika', 'FW'), ('hokusai', 'NN'), ('variety', 'NN'), ('size', 'NN'), ('framed', 'VBD'), ('option', 'NN'), ('available', 'JJ'), ('sale', 'NN'), ('today', 'NN'), ('free', 'JJ'), ('shipping', 'NN'), ('return', 'NN')]]"
92,"for more videos like this subscribe in this channel.greetings from philippines.how to draw a black naped oriole, kilyawan bird drawing, cÄnggÄ“ng drawing, ste... ",Black-naped Oriole,163,video like subscribe channel greeting philippine draw black naped oriole kilyawan bird drawing c ngg ng drawing ste,video like subscribe channel greeting philippine draw black naped oriole kilyawan bird drawing c ngg ng drawing ste,"[[('video', 'NN'), ('like', 'IN'), ('subscribe', 'JJ'), ('channel', 'NNS'), ('greeting', 'VBG'), ('philippine', 'JJ'), ('draw', 'JJ'), ('black', 'JJ'), ('naped', 'JJ'), ('oriole', 'NN'), ('kilyawan', 'NN'), ('bird', 'NN'), ('drawing', 'VBG'), ('c', 'JJ'), ('ngg', 'JJ'), ('ng', 'NN'), ('drawing', 'VBG'), ('ste', 'NN')]]"
93,"The Philippine oriole ( Oriolus steerii ) or grey-throated oriole is a species of bird in the family Oriolidae.It is endemic to the Philippines. Its natural habitat is subtropical or tropical moist lowland forests. The species is fairly common throughout its range, but the Cebu race ( O. s. assimilis ) was last sighted in 1906 and is now ... ",Black-naped Oriole,344,philippine oriole oriolus steerii grey throated oriole specie bird family oriolidae endemic philippine natural habitat subtropical tropical moist lowland forest specie fairly common throughout range cebu race assimilis last sighted,philippine oriole oriolus steerii grey throated oriole specie bird family oriolidae endemic philippine natural habitat subtropical tropical moist lowland forest specie fairly common throughout range cebu race assimilis last sighted,"[[('philippine', 'JJ'), ('oriole', 'JJ'), ('oriolus', 'NN'), ('steerii', 'NN'), ('grey', 'NN'), ('throated', 'VBD'), ('oriole', 'JJ'), ('specie', 'JJ'), ('bird', 'NN'), ('family', 'NN'), ('oriolidae', 'IN'), ('endemic', 'JJ'), ('philippine', 'JJ'), ('natural', 'JJ'), ('habitat', 'NN'), ('subtropical', 'JJ'), ('tropical', 'JJ'), ('moist', 'NN'), ('lowland', 'NN'), ('forest', 'JJS'), ('specie', 'NN'), ('fairly', 'RB'), ('common', 'JJ'), ('throughout', 'IN'), ('range', 'NN'), ('cebu', 'NN'), ('race', 'NN'), ('assimilis', 'IN'), ('last', 'JJ'), ('sighted', 'VBD')]]"
95,"Feb 24, 2011 Â·  kingfishers do catch vertebrate preys, especially those larger species of the Halcyon family rather than the smaller Alcedine kingfishers. Especially during breeding season, kingfishers would often catch small birds, but I had not quite heard of the behavior of Collared Kingfisher, but at least the related White-throated that is seen everywhere is commonly recorded to take small birds, such as ... ",Collared Kingfisher,418,feb kingfisher catch vertebrate prey especially larger specie halcyon family rather smaller alcedine kingfisher especially breeding season kingfisher would often catch small bird quite heard behavior collared kingfisher least related white throated seen everywhere commonly recorded take small bird,feb kingfisher catch vertebrate prey especially larger specie halcyon family rather smaller alcedine kingfisher especially breeding season kingfisher would often catch small bird quite heard behavior collared kingfisher least related white throated seen everywhere commonly recorded take small bird,"[[('feb', 'NN'), ('kingfisher', 'CC'), ('catch', 'NN'), ('vertebrate', 'NN'), ('prey', 'NN'), ('especially', 'RB'), ('larger', 'JJR'), ('specie', 'JJ'), ('halcyon', 'VBP'), ('family', 'NN'), ('rather', 'RB'), ('smaller', 'JJR'), ('alcedine', 'NN'), ('kingfisher', 'RBR'), ('especially', 'RB'), ('breeding', 'VBG'), ('season', 'NN'), ('kingfisher', 'NN'), ('would', 'MD'), ('often', 'RB'), ('catch', 'VB'), ('small', 'JJ'), ('bird', 'NN'), ('quite', 'RB'), ('heard', 'JJ'), ('behavior', 'NN'), ('collared', 'VBD'), ('kingfisher', 'JJR'), ('least', 'JJS'), ('related', 'JJ'), ('white', 'JJ'), ('throated', 'VBN'), ('seen', 'VBN'), ('everywhere', 'RB'), ('commonly', 'RB'), ('recorded', 'VBD'), ('take', 'VB'), ('small', 'JJ'), ('bird', 'NN')]]"
96,"23 Sept 2020 ï¿½ We also uncovered allelic introgression into the most melanistic subspecies, tertius, from the all-black congeneric Javan Myna (A. javanicus),ï¿½...",Javan Myna,165,sept also uncovered allelic introgression melanistic subspecies tertius black congeneric javan myna javanicus,sept also uncovered allelic introgression melanistic subspecies tertius black congeneric javan_myna javanicus,"[[('sept', 'NN'), ('also', 'RB'), ('uncovered', 'VBD'), ('allelic', 'JJ'), ('introgression', 'NN'), ('melanistic', 'JJ'), ('subspecies', 'NNS'), ('tertius', 'VBP'), ('black', 'JJ'), ('congeneric', 'JJ'), ('javan_myna', 'NN'), ('javanicus', 'NN')]]"
97,"The Javan myna, also known as the white-vented myna, is a species of myna. It is a member of the starling family. It is native to Bali and Java.",Javan Myna,144,javan myna also known white vented myna specie myna member starling family native bali java,javan_myna also known white vented myna specie myna member starling family native bali java,"[[('javan_myna', 'NN'), ('also', 'RB'), ('known', 'VBN'), ('white', 'JJ'), ('vented', 'JJ'), ('myna', 'NN'), ('specie', 'NN'), ('myna', 'JJ'), ('member', 'NN'), ('starling', 'VBG'), ('family', 'NN'), ('native', 'JJ'), ('bali', 'NN'), ('java', 'NN')]]"
98,"21 Jan 2022 ï¿½ Identification ï¿½ Mostly black plumage, back ashy-black ï¿½ White wing patch ï¿½ Black tail with white tips ï¿½ White undertail-coverts ï¿½ Pale lemon-yellowï¿½...",Javan Myna,180,jan identification mostly black plumage back ashy black white wing patch black tail white tip white undertail covert pale lemon yellow,jan identification mostly black plumage back ashy black white wing patch black tail white tip white undertail covert pale lemon yellow,"[[('jan', 'NN'), ('identification', 'NN'), ('mostly', 'RB'), ('black', 'JJ'), ('plumage', 'NN'), ('back', 'RB'), ('ashy', 'JJ'), ('black', 'JJ'), ('white', 'JJ'), ('wing', 'NN'), ('patch', 'NN'), ('black', 'JJ'), ('tail', 'NN'), ('white', 'JJ'), ('tip', 'JJ'), ('white', 'JJ'), ('undertail', 'NN'), ('covert', 'JJ'), ('pale', 'JJ'), ('lemon', 'NN'), ('yellow', 'NN')]]"
99,"August 2, 2022 - 403K subscribers in the whatsthisbird community. The place for your bird identification needs and challenges.",Little Egret,126,august k subscriber whatsthisbird community place bird identification need challenge,august k subscriber whatsthisbird community place bird identification need challenge,"[[('august', 'JJ'), ('k', 'NN'), ('subscriber', 'NNP'), ('whatsthisbird', 'NNP'), ('community', 'NN'), ('place', 'NN'), ('bird', 'NN'), ('identification', 'NN'), ('need', 'NN'), ('challenge', 'NN')]]"
