,index,description,species,cleaned_text
161,173,New Zealand birding discussion forum,Javan Myna,"['new', 'zealand', 'birding', 'discussion', 'forum']"
162,175,The Collared Kingfisher or White-collared Kingfisher is the most common and conspicuous of the resident kingfishers.  It can be found in a variety of...,Collared Kingfisher,"['collared', 'kingfisher', 'whitecollared', 'kingfisher', 'common', 'conspicuous', 'resident', 'kingfishers', 'found', 'variety']"
163,176,"At 7pm every day, thousands of Javan Mynas descend onto trees along Orchard Road, a major shopping and tourist district in Singapore.",Javan Myna,"['7pm', 'every', 'day', 'thousands', 'javan', 'mynas', 'descend', 'onto', 'trees', 'along', 'orchard', 'road', 'major', 'shopping', 'tourist', 'district', 'singapore']"
164,177,"The Black-naped Oriole would prefer a much thicker forest tract and a well-wooded country. The Indian Golden Oriole, which is a resident in Chennai with some local movement, is also at home in a ... ",Black-naped Oriole,"['blacknaped', 'oriole', 'would', 'prefer', 'much', 'thicker', 'forest', 'tract', 'wellwooded', 'country', 'indian', 'golden', 'oriole', 'resident', 'chennai', 'local', 'movement', 'also', 'home']"
165,180,"Sep 29, 2006. #1. Recently my family picked up an injured black-naped oriole and as it cannot fly, the vet persuaded us to keep it as a pet. (Edited to add: the bird will never be able to fly because a large part of its right wing is missing) It is about 10 weeks old now (9 Oct). I've tried searching online resources and my local libraries for ... ",Black-naped Oriole,"['sep', '29', '2006', '1', 'recently', 'family', 'picked', 'injured', 'blacknaped', 'oriole', 'fly', 'vet', 'persuaded', 'us', 'keep', 'pet', 'edited', 'add', 'bird', 'never', 'able', 'fly', 'large', 'part', 'right', 'wing', 'missing', '10', 'weeks', 'old', '9', 'oct', 'ive', 'tried', 'searching', 'online', 'resources', 'local', 'libraries']"
166,181,"The rufous-collared kingfisher is a species of bird in the family Alcedinidae. It is found in Brunei, Indonesia, Malaysia, Myanmar, and Thailand. Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest. It is threatened by habitat loss. Source: Wikipedia. ",Collared Kingfisher,"['rufouscollared', 'kingfisher', 'species', 'bird', 'family', 'alcedinidae', 'found', 'brunei', 'indonesia', 'malaysia', 'myanmar', 'thailand', 'natural', 'habitats', 'subtropical', 'tropical', 'moist', 'lowland', 'forest', 'subtropical', 'tropical', 'moist', 'montane', 'forest', 'threatened', 'habitat', 'loss', 'source', 'wikipedia']"
167,184,"... CONTENTS. Introduction 6 10 12 22 38 Little Owl â€“ Frankfurt, Germany Collared Dove ... Javan Myna â€“ Singapore Japanese Cormorant â€“ Kyoto, Japan Carrion Crowï¿½...",Javan Myna,"['contents', 'introduction', '6', '10', '12', '22', '38', 'little', 'owl', 'frankfurt', 'germany', 'collared', 'dove', 'javan', 'myna', 'singapore', 'japanese', 'cormorant', 'kyoto', 'japan', 'carrion', 'crow']"
168,186,"Black-naped oriole, Oriolus chinensis , is a frequent visitor (or permanent inhabitant) of the raintrees in the Methodist College Kuala Lumpur compound. The ",Black-naped Oriole,"['blacknaped', 'oriole', 'oriolus', 'chinensis', 'frequent', 'visitor', 'permanent', 'inhabitant', 'raintrees', 'methodist', 'college', 'kuala', 'lumpur', 'compound']"
169,188,"Mar 23, 2011 Â·  One such bird is the Collared Kingfisher (Todiramphus chloris). The Collared Kingfisher isnâ€™t the most widespread kingfisher in the world (a distinction that would probably go to the Common Kingfisher or the Pied Kingfisher ), but it is close, ranging from the African coast of the Red Sea through to Tonga and American Samoa. ",Collared Kingfisher,"['mar', '23', '2011', 'one', 'bird', 'collared', 'kingfisher', 'todiramphus', 'chloris', 'collared', 'kingfisher', 'isnt', 'widespread', 'kingfisher', 'world', 'distinction', 'would', 'probably', 'go', 'common', 'kingfisher', 'pied', 'kingfisher', 'close', 'ranging', 'african', 'coast', 'red', 'sea', 'tonga', 'american', 'samoa']"
170,189,Two of the four or five sounds the Black-naped Oriole makes. ,Black-naped Oriole,"['two', 'four', 'five', 'sounds', 'blacknaped', 'oriole', 'makes']"
171,190,Learn how to tell the difference between Snowy Egret and Cattle Egret!,Little Egret,"['learn', 'tell', 'difference', 'snowy', 'egret', 'cattle', 'egret']"
172,191,"#animals #birds #wildlife A swan and a little egret preening themselves on Marine Lake, Southport",Little Egret,"['animals', 'birds', 'wildlife', 'swan', 'little', 'egret', 'preening', 'marine', 'lake', 'southport']"
173,192,Typical yellow and black Old World oriole. Male entirely golden-yellow apart from black wings and tail and a broad black band through the eyes. The tail and wings have yellow tips. The bill is deep pinkish. Female similar to the male but with more yellowish-green upperparts. Juveniles show streaked underparts. ,Black-naped Oriole,"['typical', 'yellow', 'black', 'old', 'world', 'oriole', 'male', 'entirely', 'goldenyellow', 'apart', 'black', 'wings', 'tail', 'broad', 'black', 'band', 'eyes', 'tail', 'wings', 'yellow', 'tips', 'bill', 'deep', 'pinkish', 'female', 'similar', 'male', 'yellowishgreen', 'upperparts', 'juveniles', 'show', 'streaked', 'underparts']"
174,194,"The Baltimore oriole is one of the few birds in North america that has orange colored feathers, it's  sounds are here. As well as many other interesting varieties of Orioles found around the world.",Black-naped Oriole,"['baltimore', 'oriole', 'one', 'birds', 'north', 'america', 'orange', 'colored', 'feathers', 'sounds', 'well', 'many', 'interesting', 'varieties', 'orioles', 'found', 'around', 'world']"
175,195,"Black-naped Oriole (Tenggara) SCI Name: Oriolus chinensis broderipi/boneratensis. ORIOLUS. ( Oriolidae; Ï® Eurasian Golden Oriole O. oriolus) Med. L. oriolus Golden Oriole; this onomatopoeia echoes the melodic calls of the Eurasian Golden Oriole which are such a distinctive feature of European woodlands in the spring; ""52. ",Black-naped Oriole,"['blacknaped', 'oriole', 'tenggara', 'sci', 'name', 'oriolus', 'chinensis', 'broderipiboneratensis', 'oriolus', 'oriolidae', 'eurasian', 'golden', 'oriole', 'oriolus', 'med', 'l', 'oriolus', 'golden', 'oriole', 'onomatopoeia', 'echoes', 'melodic', 'calls', 'eurasian', 'golden', 'oriole', 'distinctive', 'feature', 'european', 'woodlands', 'spring', '52']"
176,196,"COLLARED KINGFISHERTodiramphus chloris     Alcedinidae Family     Bird #22 - June 2008 This is called White-collared Kingfisher in the Kennedy guide.  We first saw this during the guided birdwatching trip at UP, led by the Wild     Bird Club of the Philippines. After seeing it there, we realized that it is     common and found even in our own neighborhood.     This is such a big, noisy, and conspicuous bird that you would think that we     would have better photos of it. When approached however,Â  it tends to     fly offÂ  and then land and perch on a branch that's just beyond the     ideal range of your photo equipment!",Collared Kingfisher,"['collared', 'kingfishertodiramphus', 'chloris', 'alcedinidae', 'family', 'bird', '22', 'june', '2008', 'called', 'whitecollared', 'kingfisher', 'kennedy', 'guide', 'first', 'saw', 'guided', 'birdwatching', 'trip', 'led', 'wild', 'bird', 'club', 'philippines', 'seeing', 'realized', 'common', 'found', 'even', 'neighborhood', 'big', 'noisy', 'conspicuous', 'bird', 'would', 'think', 'would', 'better', 'photos', 'approached', 'however', 'tends', 'fly', 'land', 'perch', 'branch', 'thats', 'beyond', 'ideal', 'range', 'photo', 'equipment']"
177,197,"Jul 12, 2023 Â·  The Collared Kingfisher is a medium-sized kingfisher, measuring 22 to 29 cm in length (including the tail) and weighing about 51 to 90 grams. The plumage varies from blue to green above while the underparts can be white or buff. There is a white collar around the neck, giving the birds its name. ",Collared Kingfisher,"['jul', '12', '2023', 'collared', 'kingfisher', 'mediumsized', 'kingfisher', 'measuring', '22', '29', 'cm', 'length', 'including', 'tail', 'weighing', '51', '90', 'grams', 'plumage', 'varies', 'blue', 'green', 'underparts', 'white', 'buff', 'white', 'collar', 'around', 'neck', 'giving', 'birds', 'name']"
178,198,"16 Aug 2012 ï¿½ The Common Myna (Acridotheres tristis), also called Indian Mynah in other parts of the world is one of the most widespread species. It isï¿½...",Javan Myna,"['16', 'aug', '2012', 'common', 'myna', 'acridotheres', 'tristis', 'also', 'called', 'indian', 'mynah', 'parts', 'world', 'one', 'widespread', 'species']"
179,199,"A small kingfisher with bright azure-blue upperparts and a gleaming white underside. Female shows a diagnostic blue chest band. Male is entirely white underneath with a white collar. White wing patches visible in flight. Juveniles has rufous spot beside bill and rufous collar and flanks. Typically found in pairs in open wooded country, plantations, degraded forest and forest edge in the ... ",Collared Kingfisher,"['small', 'kingfisher', 'bright', 'azureblue', 'upperparts', 'gleaming', 'white', 'underside', 'female', 'shows', 'diagnostic', 'blue', 'chest', 'band', 'male', 'entirely', 'white', 'underneath', 'white', 'collar', 'white', 'wing', 'patches', 'visible', 'flight', 'juveniles', 'rufous', 'spot', 'beside', 'bill', 'rufous', 'collar', 'flanks', 'typically', 'found', 'pairs', 'open', 'wooded', 'country', 'plantations', 'degraded', 'forest', 'forest', 'edge']"
180,200,"Black-naped oriole: Oriolus chinensis: eastern Siberia, Ussuriland, northeastern China, Korea and northern Vietnam Green-headed oriole: Oriolus chlorocephalus: eastern Africa SÃ£o TomÃ© oriole: Oriolus crassirostris: island of SÃ£o TomÃ© Western oriole: Oriolus brachyrynchus: Africa. Ethiopian oriole: Oriolus monacha: north-eastern Africa ... ",Black-naped Oriole,"['blacknaped', 'oriole', 'oriolus', 'chinensis', 'eastern', 'siberia', 'ussuriland', 'northeastern', 'china', 'korea', 'northern', 'vietnam', 'greenheaded', 'oriole', 'oriolus', 'chlorocephalus', 'eastern', 'africa', 'tom', 'oriole', 'oriolus', 'crassirostris', 'island', 'tom', 'western', 'oriole', 'oriolus', 'brachyrynchus', 'africa', 'ethiopian', 'oriole', 'oriolus', 'monacha', 'northeastern', 'africa']"
181,201,"Baltimore Oriole nests are cup-shaped hanging or pendulum structures made of grasses, string, and other plant fibers, lined with softer materials like hair and feathers. They are usually suspended from dropping branches or hanging from shrub branches. The nests are usually about the size of a baseball and look like a hanging pouch or sock. ",Black-naped Oriole,"['baltimore', 'oriole', 'nests', 'cupshaped', 'hanging', 'pendulum', 'structures', 'made', 'grasses', 'string', 'plant', 'fibers', 'lined', 'softer', 'materials', 'like', 'hair', 'feathers', 'usually', 'suspended', 'dropping', 'branches', 'hanging', 'shrub', 'branches', 'nests', 'usually', 'size', 'baseball', 'look', 'like', 'hanging', 'pouch', 'sock']"
182,202,"The Javan myna (Acridotheres javanicus), also known as the whitevented myna, is a species of myna. It is a member of the starling family. The Javan myna is sometimes included in the great myna (Acridotheres grandis) or the jungle myna (A. fuscus). The International Ornithologists' Union recommends",Javan Myna,"['javan', 'myna', 'acridotheres', 'javanicus', 'also', 'known', 'whitevented', 'myna', 'species', 'myna', 'member', 'starling', 'family', 'javan', 'myna', 'sometimes', 'included', 'great', 'myna', 'acridotheres', 'grandis', 'jungle', 'myna', 'fuscus', 'international', 'ornithologists', 'union', 'recommends']"
183,203,"Black-naped oriole, Oriolus chinensis , is a frequent visitor (or permanent inhabitant) of the raintrees in the Methodist College Kuala Lumpur compound. The",Black-naped Oriole,"['blacknaped', 'oriole', 'oriolus', 'chinensis', 'frequent', 'visitor', 'permanent', 'inhabitant', 'raintrees', 'methodist', 'college', 'kuala', 'lumpur', 'compound']"
184,204,"20 Nov 2018 ï¿½ Javan Mynas (Acridotheres javanicus) are gregarious and noisy. They are also quarrelsome, often involving in noisy fights when the noiseï¿½...",Javan Myna,"['20', 'nov', '2018', 'javan', 'mynas', 'acridotheres', 'javanicus', 'gregarious', 'noisy', 'also', 'quarrelsome', 'often', 'involving', 'noisy', 'fights', 'noise']"
185,205,"Provisional. Escapee: Exotic species known or suspected to be escaped or released, including those that have bred but don't yet fulfill the criteria for Provisional. Escapee exotics do not count in official eBird totals. Learn about Black-naped Oriole (Philippine): explore photos, sounds, and observations collected by birders around the world. ",Black-naped Oriole,"['provisional', 'escapee', 'exotic', 'species', 'known', 'suspected', 'escaped', 'released', 'including', 'bred', 'dont', 'yet', 'fulfill', 'criteria', 'provisional', 'escapee', 'exotics', 'count', 'official', 'ebird', 'totals', 'learn', 'blacknaped', 'oriole', 'philippine', 'explore', 'photos', 'sounds', 'observations', 'collected', 'birders', 'around', 'world']"
186,206,"Learn about Black-naped Oriole (Philippine): explore photos, sounds, and observations collected by birders around the world.",Black-naped Oriole,"['learn', 'blacknaped', 'oriole', 'philippine', 'explore', 'photos', 'sounds', 'observations', 'collected', 'birders', 'around', 'world']"
187,207,The black-naped oriole is a passerine bird in the oriole family that is found in many parts of Asia. There are several distinctive populations within the wide distribution range of this species and in the past the slender-billed oriole was included as a subspecies. ,Black-naped Oriole,"['blacknaped', 'oriole', 'passerine', 'bird', 'oriole', 'family', 'found', 'many', 'parts', 'asia', 'several', 'distinctive', 'populations', 'within', 'wide', 'distribution', 'range', 'species', 'past', 'slenderbilled', 'oriole', 'included', 'subspecies']"
188,208,"The Javan Myna Acridotheres javanicus, also known as the white-vented myna and the ï¿½ Javan myna, Acridotheres javanicus, Jurong Bird Park, Singapore ï¿½ javanï¿½...",Javan Myna,"['javan', 'myna', 'acridotheres', 'javanicus', 'also', 'known', 'whitevented', 'myna', 'javan', 'myna', 'acridotheres', 'javanicus', 'jurong', 'bird', 'park', 'singapore', 'javan']"
189,210,Anna Irvine glad you like it and we are happy to share it. 5h. Aneeta Mohanty ,Black-naped Oriole,"['anna', 'irvine', 'glad', 'like', 'happy', 'share', '5h', 'aneeta', 'mohanty']"
190,212,"Typical yellow and black Old World oriole. Male entirely golden-yellow apart from black wings and tail and a broad black band through the eyes. The tail and wings have yellow tips. The bill is deep pinkish. Female similar to the male but with more yellowish-green upperparts. Juveniles show streaked underparts. Found in a variety of forest habitats, including plantations and gardens; forages in ... ",Black-naped Oriole,"['typical', 'yellow', 'black', 'old', 'world', 'oriole', 'male', 'entirely', 'goldenyellow', 'apart', 'black', 'wings', 'tail', 'broad', 'black', 'band', 'eyes', 'tail', 'wings', 'yellow', 'tips', 'bill', 'deep', 'pinkish', 'female', 'similar', 'male', 'yellowishgreen', 'upperparts', 'juveniles', 'show', 'streaked', 'underparts', 'found', 'variety', 'forest', 'habitats', 'including', 'plantations', 'gardens', 'forages']"
191,213,"6 likes, 0 comments - ghinoarsalan on August 19, 2021: ""KepodangÂ (Oriolus chinensis)
The black-naped oriole

Kepodang adalah burung berkicau yang mempun...""",Black-naped Oriole,"['6', 'likes', '0', 'comments', 'ghinoarsalan', 'august', '19', '2021', 'kepodang', 'oriolus', 'chinensis', 'blacknaped', 'oriole', 'kepodang', 'adalah', 'burung', 'berkicau', 'yang', 'mempun']"
192,214,The Black-Naped Oriole. ,Black-naped Oriole,"['blacknaped', 'oriole']"
193,215,"Collared Kingfisher Todiramphus chloris, Singapore. (Craig Brelsford) Range of Collared Kingfisher Todiramphus chloris extends from East Africa to Polynesia, but only vagrants reach Chinese coast (Jiangsu, Fujian). Common in mangroves and coastal forests. Bluish-green above, white below, with distinctive white collar and black eyestripe. ",Collared Kingfisher,"['collared', 'kingfisher', 'todiramphus', 'chloris', 'singapore', 'craig', 'brelsford', 'range', 'collared', 'kingfisher', 'todiramphus', 'chloris', 'extends', 'east', 'africa', 'polynesia', 'vagrants', 'reach', 'chinese', 'coast', 'jiangsu', 'fujian', 'common', 'mangroves', 'coastal', 'forests', 'bluishgreen', 'white', 'distinctive', 'white', 'collar', 'black', 'eyestripe']"
194,216,"Nov 4, 2006 Â·  Feeding habits of kingfishers. A kingfishers generally hunts by sitting quietly on a high perch and keeping a close lookout of the surrounding for potential prey. Once it spots a prey, it swoops down and seizes it in its bill to return to the same perch or another perch. Alternatively, the bird may snatch a prey while in flight or hover in ... ",Collared Kingfisher,"['nov', '4', '2006', 'feeding', 'habits', 'kingfishers', 'kingfishers', 'generally', 'hunts', 'sitting', 'quietly', 'high', 'perch', 'keeping', 'close', 'lookout', 'surrounding', 'potential', 'prey', 'spots', 'prey', 'swoops', 'seizes', 'bill', 'return', 'perch', 'another', 'perch', 'alternatively', 'bird', 'may', 'snatch', 'prey', 'flight', 'hover']"
195,217,"Jul 7, 2013 Â·  Collared Kingfisher: Food for the young. In June 2013, Goh Juan Hui documented a variety of food the adult Collared Kingfishers ( Todiramphus chloris) brought back to feed the young at the nest. The nest was a small opening of about 4cm diameter found on the vertical wall of a monsoon drain at the forest margin (below left). ",Collared Kingfisher,"['jul', '7', '2013', 'collared', 'kingfisher', 'food', 'young', 'june', '2013', 'goh', 'juan', 'hui', 'documented', 'variety', 'food', 'adult', 'collared', 'kingfishers', 'todiramphus', 'chloris', 'brought', 'back', 'feed', 'young', 'nest', 'nest', 'small', 'opening', '4cm', 'diameter', 'found', 'vertical', 'wall', 'monsoon', 'drain', 'forest', 'margin', 'left']"
196,218,Common Mynas are not that common.,Javan Myna,"['common', 'mynas', 'common']"
197,219,"The Javan Myna, scientifically known as Acridotheres javanicus, is a fascinating bird species that has gained popularity due to its unique vocal abilitiesï¿½...",Javan Myna,"['javan', 'myna', 'scientifically', 'known', 'acridotheres', 'javanicus', 'fascinating', 'bird', 'species', 'gained', 'popularity', 'due', 'unique', 'vocal', 'abilities']"
198,220,"Apr 27, 2020 Â·  Collared kingfisher. Todirhamphus chloris Most commonly found in coastal areas, particularly in mangrove swamps. It also inhabits farmland, open woodland, grassland and gardens. In some parts of its range, especially on islands, it can be seen further inland, ranging into forest or into mountain areas. ",Collared Kingfisher,"['apr', '27', '2020', 'collared', 'kingfisher', 'todirhamphus', 'chloris', 'commonly', 'found', 'coastal', 'areas', 'particularly', 'mangrove', 'swamps', 'also', 'inhabits', 'farmland', 'open', 'woodland', 'grassland', 'gardens', 'parts', 'range', 'especially', 'islands', 'seen', 'inland', 'ranging', 'forest', 'mountain', 'areas']"
199,222," The Bird Finder allows you to search, browse or find information about individual Australian birds. More birds will be added over time Â· Use the filters below to help narrow down your search",Little Egret,"['bird', 'finder', 'allows', 'search', 'browse', 'find', 'information', 'individual', 'australian', 'birds', 'birds', 'added', 'time', 'use', 'filters', 'help', 'narrow', 'search']"
200,223,"Filmed this black-naped oriole at the kitchen garden at Pasir Ris Park, August 2020. Although it is a common bird bird in Singapore, its beauty is still clea... ",Black-naped Oriole,"['filmed', 'blacknaped', 'oriole', 'kitchen', 'garden', 'pasir', 'ris', 'park', 'august', '2020', 'although', 'common', 'bird', 'bird', 'singapore', 'beauty', 'still', 'clea']"
201,224,11 Aug 2021 ï¿½ Skip to main content. U.S. flag. An official ... Dark blue: pale-bellied myna; light blue: common myna; purple: crested myna; yellow: Javan myna.,Javan Myna,"['11', 'aug', '2021', 'skip', 'main', 'content', 'us', 'flag', 'official', 'dark', 'blue', 'palebellied', 'myna', 'light', 'blue', 'common', 'myna', 'purple', 'crested', 'myna', 'yellow', 'javan', 'myna']"
202,226,"BLACK-NAPED ORIOLE Oriolus Chinensis The Black-naped Oriole is probably the most persistent suitor you'll ever see as it chases after the fern"", in the sky during courtship. You'll know when it comes calling by its distinct call, pee-yaaaaooww. Local Name: ilyawan, Kulyawan(Tagalog); Ã€ntulihao, Tulihao""(\/isayan) Habits: Common in fore edg ndergro ",Black-naped Oriole,"['blacknaped', 'oriole', 'oriolus', 'chinensis', 'blacknaped', 'oriole', 'probably', 'persistent', 'suitor', 'youll', 'ever', 'see', 'chases', 'fern', 'sky', 'courtship', 'youll', 'know', 'comes', 'calling', 'distinct', 'call', 'peeyaaaaooww', 'local', 'name', 'ilyawan', 'kulyawantagalog', 'ntulihao', 'tulihaoisayan', 'habits', 'common', 'fore', 'edg', 'ndergro']"
203,227,"Kiah Ng photographed a Collared Kingfisher (Todiramphus chloris) eating a pufferfish at Byram, Penang, Malaysia.",Collared Kingfisher,"['kiah', 'ng', 'photographed', 'collared', 'kingfisher', 'todiramphus', 'chloris', 'eating', 'pufferfish', 'byram', 'penang', 'malaysia']"
204,230,"The collared kingfisher, scientific name Todiramphus chloris is a medium-sized kingfisher belonging to the subfamily Halcyoninae, the tree kingfishers.",Collared Kingfisher,"['collared', 'kingfisher', 'scientific', 'name', 'todiramphus', 'chloris', 'mediumsized', 'kingfisher', 'belonging', 'subfamily', 'halcyoninae', 'tree', 'kingfishers']"
205,231,"At 7pm every day, thousands of Javan Mynas descend onto trees along Orchard Road, a major shopping and tourist district in Singapore. They have been the bane of retailers and shoppers for the past few years, dirtying pavements with their droppings and emitting a ferocious noise with their collective squawking. Great co",Javan Myna,"['7pm', 'every', 'day', 'thousands', 'javan', 'mynas', 'descend', 'onto', 'trees', 'along', 'orchard', 'road', 'major', 'shopping', 'tourist', 'district', 'singapore', 'bane', 'retailers', 'shoppers', 'past', 'years', 'dirtying', 'pavements', 'droppings', 'emitting', 'ferocious', 'noise', 'collective', 'squawking', 'great', 'co']"
206,232,"Unique dark oriole with a restricted range: found only in montane and submontane forests in northwestern Borneo, primarily within the Paya Maga highlands of Sarawak state. Male is inky black all over with a slight blue gloss. Female has a gray belly. Both sexes have a bright red bill and dark rust-red vent. Forages quietly in the canopy, often alone, but sometimes in pairs or small groups. Short echoing song can be likened to â€œwoo-wichâ€™ew!â€.",Black-naped Oriole,"['unique', 'dark', 'oriole', 'restricted', 'range', 'found', 'montane', 'submontane', 'forests', 'northwestern', 'borneo', 'primarily', 'within', 'paya', 'maga', 'highlands', 'sarawak', 'state', 'male', 'inky', 'black', 'slight', 'blue', 'gloss', 'female', 'gray', 'belly', 'sexes', 'bright', 'red', 'bill', 'dark', 'rustred', 'vent', 'forages', 'quietly', 'canopy', 'often', 'alone', 'sometimes', 'pairs', 'small', 'groups', 'short', 'echoing', 'song', 'likened', 'woowichew']"
207,233,"* If it takes more than a minute, please close / reload this and try again. Thanks. ... Agree We use cookies to personalize content. By using this website, youï¿½...",Javan Myna,"['takes', 'minute', 'please', 'close', 'reload', 'try', 'thanks', 'agree', 'use', 'cookies', 'personalize', 'content', 'using', 'website']"
208,234,Avibase. IUCN Red List. published: 21-01-2014 - Updated: 15-02-2014. 2024 Oiseaux.net. Identification record : Black-naped Oriole (Oriolus chinensis) is a bird which belongs to the family of OriolidÃ©s and the order of Passeriformes. ,Black-naped Oriole,"['avibase', 'iucn', 'red', 'list', 'published', '21012014', 'updated', '15022014', '2024', 'oiseauxnet', 'identification', 'record', 'blacknaped', 'oriole', 'oriolus', 'chinensis', 'bird', 'belongs', 'family', 'oriolids', 'order', 'passeriformes']"
209,235,"Follow the journey of two Black Naped Oriole chicks, as they grow from baby to flying the coop two weeks later! The black-naped oriole is a passerine bird in...",Black-naped Oriole,"['follow', 'journey', 'two', 'black', 'naped', 'oriole', 'chicks', 'grow', 'baby', 'flying', 'coop', 'two', 'weeks', 'later', 'blacknaped', 'oriole', 'passerine', 'bird']"
210,236,"Javan Mynah, Acridotheres javanicus, a common bird can be seen everywhere in Singapore ï¿½ Javan mynah Bird Singapore domestic bird.",Javan Myna,"['javan', 'mynah', 'acridotheres', 'javanicus', 'common', 'bird', 'seen', 'everywhere', 'singapore', 'javan', 'mynah', 'bird', 'singapore', 'domestic', 'bird']"
211,237,16 Sept 2008 ï¿½ Note: Some content in this publication may have different licence terms as indicated. ... Related species: Acridotheres javanicus (Javan myna).,Javan Myna,"['16', 'sept', '2008', 'note', 'content', 'publication', 'may', 'different', 'licence', 'terms', 'indicated', 'related', 'species', 'acridotheres', 'javanicus', 'javan', 'myna']"
212,238,à¤¯à¤¹à¤¾à¤ à¤­à¤¾à¤°à¤¤ à¤®à¥‡à¤‚ à¤ªà¤¾à¤¯à¥€ à¤œà¤¾à¤¨à¥‡ à¤µà¤¾à¤²à¥€ à¤ªà¤•à¥à¤·à¤¿à¤¯à¥‹à¤‚ à¤•à¥€ à¤¸à¥‚à¤šà¥€ à¤¦à¥€ à¤—à¤¯à¥€ à¤¹à¥ˆà¥¤ à¤­à¤¾à¤°à¤¤ à¤®à¥‡à¤‚ à¤ªà¤•à¥à¤·à¤¿à¤¯à¥‹à¤‚ à¤•à¥€ à¤•à¥à¤² 1301 à¤ªà¥à¤°à¤œà¤¾à¤¤à¤¿à¤¯à¤¾à¤ (species) à¤¹à¥ˆà¤‚ à¤œà¤¿à¤¨à¤®à¥‡à¤‚ à¤¸à¥‡ 42 à¤•à¥‡à¤µà¤² à¤­à¤¾à¤°à¤¤ à¤®à¥‡à¤‚ à¤ªà¤¾à¤¯à¥€ ... ,Black-naped Oriole,"['1301', 'species', '42']"
213,239,"22 Oct 2023 ï¿½ Dragon Snake (Javan Tubercle Snake, Javan Mudsnake) ï¿½ Dragonfish ... Myna Bird ï¿½ Animals that start with N ï¿½ Nabarlek ï¿½ Naegleria ï¿½ Naked Mole Ratï¿½...",Javan Myna,"['22', 'oct', '2023', 'dragon', 'snake', 'javan', 'tubercle', 'snake', 'javan', 'mudsnake', 'dragonfish', 'myna', 'bird', 'animals', 'start', 'n', 'nabarlek', 'naegleria', 'naked', 'mole', 'rat']"
214,240,The Black-naped Oriole ( Oriolus chinensis) is a bird of the oriole family and is found in many parts of Asia. There are several distinctive populations within wide distribution range of the species and in the past the Slender-billed Oriole ( Oriolus tenuirostris) was included as a subspecies. The Black-naped Oriole has the eye stripe ... ,Black-naped Oriole,"['blacknaped', 'oriole', 'oriolus', 'chinensis', 'bird', 'oriole', 'family', 'found', 'many', 'parts', 'asia', 'several', 'distinctive', 'populations', 'within', 'wide', 'distribution', 'range', 'species', 'past', 'slenderbilled', 'oriole', 'oriolus', 'tenuirostris', 'included', 'subspecies', 'blacknaped', 'oriole', 'eye', 'stripe']"
215,241,"The Collared Kingfisher feeds mainly on insects, small reptiles, small fish and crustaceans. return to Index Forest Kingfisher Description : Looks like the Sacred Kingfisher, except it has a white ""flash"" on its wing and a brighter underbelly Its tail is a strong blue, as is its head which has a wide black stripe from its bill to its ear ",Collared Kingfisher,"['collared', 'kingfisher', 'feeds', 'mainly', 'insects', 'small', 'reptiles', 'small', 'fish', 'crustaceans', 'return', 'index', 'forest', 'kingfisher', 'description', 'looks', 'like', 'sacred', 'kingfisher', 'except', 'white', 'flash', 'wing', 'brighter', 'underbelly', 'tail', 'strong', 'blue', 'head', 'wide', 'black', 'stripe', 'bill', 'ear']"
216,242,"Unlike what its name suggests, the Common Myna is not the commonest species of myna in Singapore - that title belongs to the Javan Myna (Acridotheres javanicus).",Javan Myna,"['unlike', 'name', 'suggests', 'common', 'myna', 'commonest', 'species', 'myna', 'singapore', 'title', 'belongs', 'javan', 'myna', 'acridotheres', 'javanicus']"
217,243,"Sep 7, 2020 Â·  Image Credit: Supplied. Sharjah: The UAEâ€™s only endemic Kingfisher bird sub-species, the Arabian Collared Kingfisher, has increased in number and scientists in the country have for the first ... ",Collared Kingfisher,"['sep', '7', '2020', 'image', 'credit', 'supplied', 'sharjah', 'uaes', 'endemic', 'kingfisher', 'bird', 'subspecies', 'arabian', 'collared', 'kingfisher', 'increased', 'number', 'scientists', 'country', 'first']"
218,244,Description. The black-naped oriole is medium-sized and overall golden with a strong pinkish bill and a broad black mask and nape. The adult male has the central tail feathers tipped yellow and the lateral ones are more broadly yellow. The female has the mantle colour more greenish or olive. ,Black-naped Oriole,"['description', 'blacknaped', 'oriole', 'mediumsized', 'overall', 'golden', 'strong', 'pinkish', 'bill', 'broad', 'black', 'mask', 'nape', 'adult', 'male', 'central', 'tail', 'feathers', 'tipped', 'yellow', 'lateral', 'ones', 'broadly', 'yellow', 'female', 'mantle', 'colour', 'greenish', 'olive']"
